"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.91014170444766e-280,0.574807110506178,0.405,0.3,1.93956674593057e-275,"0","TMEM63A"
3.63580328041226e-277,0.45334081833752,0.523,0.406,8.91498964357086e-273,"0","SPTBN1"
6.49951566270302e-275,0.285473381705701,0.822,0.727,1.59368124049478e-270,"0","SEPTIN6"
8.73343281791675e-275,0.784856519911659,0.266,0.175,2.14143772695319e-270,"0","PVT1"
4.87922851829274e-273,0.773989995101974,0.268,0.175,1.19638683268538e-268,"0","AC100810.1"
6.42852318988475e-273,0.561556817497365,0.358,0.25,1.57627388615974e-268,"0","SCML4"
1.07797849996482e-272,0.563941649420115,0.307,0.205,2.64320328191373e-268,"0","IL6R"
1.02311420577816e-270,0.523032716329372,0.459,0.352,2.50867603256804e-266,"0","DYRK2"
2.58921900487639e-270,0.390457483363715,0.672,0.587,6.34876499995691e-266,"0","STAT3"
1.96763584782246e-265,0.477352384596188,0.481,0.369,4.82464309886067e-261,"0","SNHG14"
8.33674329406377e-262,0.343210927575491,0.771,0.698,2.04416945570444e-257,"0","ATP5PO"
2.28966982756037e-261,0.685405768030384,0.309,0.213,5.61427041717802e-257,"0","NAA16"
3.61901395207004e-261,0.42384197127354,0.467,0.351,8.87382221047574e-257,"0","CDC14A"
2.85561261993737e-254,0.414524525869174,0.301,0.197,7.00196214408643e-250,"0","TTN"
1.72073629622594e-251,0.708107867593992,0.288,0.196,4.219245398346e-247,"0","NIPAL3"
2.71574322605177e-249,0.345085475040391,0.601,0.484,6.65900239027893e-245,"0","PRDX2"
5.52180354693579e-247,0.360538854613623,0.702,0.616,1.35394622970866e-242,"0","RSL1D1"
2.51429297150004e-245,0.669089440563089,0.289,0.195,6.1650463661181e-241,"0","ICA1L"
7.62099334372255e-245,0.46528760029342,0.553,0.463,1.86866756788077e-240,"0","TGFBR2"
8.27677210659478e-245,0.514477111254388,0.448,0.349,2.02946452053704e-240,"0","CCDC66"
1.52179819834266e-244,0.676584452960305,0.283,0.19,3.73144918233619e-240,"0","AC008555.4"
